City,q,Q_bc_avg
Dalian,0.07,0.6407772877618523
Dalian,0.08,0.6215178243292907
Dalian,0.09,0.5609941198088938
Dalian,0.1,0.5449816244027931
Dalian,0.11,0.4905108416023521
Dalian,0.12,0.46744671076810007
Dalian,0.13,0.3951681367144432
Dalian,0.14,0.36576350606394703
Dalian,0.15,0.30784729878721057
Dalian,0.16,0.24777839029768467
Dalian,0.17,0.22638092613009925
Dalian,0.18,0.1980402425578831
Dalian,0.19,0.17159408305769935
Dalian,0.2,0.1498144064682102
Dalian,0.21,0.13102168320470414
Dalian,0.22,0.11401139287026832
Dalian,0.23,0.09358232267548695
Dalian,0.24,0.09096288129364205
Dalian,0.25,0.07388735758912164
Dalian,0.26,0.06913542815141493
Dalian,0.27,0.05451212789415657
Dalian,0.28,0.046183388460124965
Dalian,0.29,0.039945791988239616
Dalian,0.3,0.032458654906284454
Dalian,0.31,0.025492466005145164
Dalian,0.32,0.02532065417126056
Dalian,0.33,0.02311282616685042
Dalian,0.34,0.01875597206909225
Dalian,0.35,0.015256339581036385
Dalian,0.36,0.014214443219404627
Dalian,0.37,0.013269937522969497
Dalian,0.38,0.010912348401323043
Dalian,0.39,0.00934215361999265
Dalian,0.4,0.00994487320837927
Dalian,0.41,0.007552370452039691
Dalian,0.42,0.007188533627342887
Dalian,0.43,0.00539875045938993
Dalian,0.44,0.00513965453877251
Dalian,0.45,0.004465270121278942
Dalian,0.46,0.004331128261668504
Dalian,0.47,0.0036861447997059904
Dalian,0.48,0.0033774347666299157
Dalian,0.49,0.003060455714810732
Dalian,0.5,0.003122013965453877
Dalian,0.51,0.002616685042263874
Dalian,0.52,0.0024457919882396174
Dalian,0.53,0.002172914369717016
Dalian,0.54,0.0018761484748254314
Dalian,0.55,0.00198180815876516
Dalian,0.56,0.0018320470415288496
Dalian,0.57,0.0015472252848217568
Dalian,0.58,0.0015977581771407575
Dalian,0.59,0.0014709665564130833
Dalian,0.6,0.0012256523337008454
Dalian,0.61,0.0012440279309077543
Dalian,0.62,0.0011907386990077178
Dalian,0.63,0.0010510841602352074
Dalian,0.64,0.001173281881661154
Dalian,0.65,0.001025358324145535
Dalian,0.66,0.0009013230429988974
Dalian,0.67,0.0008902976846747521
Dalian,0.68,0.0008213891951488422
Dalian,0.69,0.0006486585814038956
Dalian,0.7,0.0006844909959573687
Dalian,0.71,0.0006863285556780596
Dalian,0.72,0.0006403895626607864
Dalian,0.73,0.0005760749724366042
Dalian,0.74,0.0005834252113193679
Dalian,0.75,0.0005926130099228224
Dalian,0.76,0.0005834252113193679
Dalian,0.77,0.0005338110988607129
Dalian,0.78,0.0004897096655641307
Dalian,0.79,0.00046030871003307605
Dalian,0.8,0.0004125321572951121
Dalian,0.81,0.0004005880191106211
Dalian,0.82,0.0004152884968761485
Dalian,0.83,0.00038404998162440277
Dalian,0.84,0.0003656743844174935
Dalian,0.85,0.0003031973539140022
Dalian,0.86,0.0003169790518191841
Dalian,0.87,0.00029676589489158395
