排名,节点ID,X坐标,Y坐标,度数,介数中心性
8443,31960,519374.4535,4409536.7088,3,0.00014839
8444,34781,398164.2034,4326480.7233,4,0.0001483
8445,25835,405829.5158,4358860.1143,3,0.00014809
8446,15587,379810.1723,4317609.1859,2,0.00014781
8447,8246,381343.7219,4307911.5939,3,0.0001478
8448,31826,484914.7847,4408707.6535,3,0.0001478
8449,19486,393256.1746,4324457.5806,3,0.00014773
8450,14602,378463.4253,4315307.938,2,0.00014765
8451,9310,384444.4992,4308370.7296,3,0.00014758
8452,33224,414786.2344,4433304.8393,4,0.00014752
8453,3732,373624.7256,4303891.2204,3,0.00014713
8454,30974,388424.4496,4398856.8789,3,0.00014681
8455,11953,379134.0403,4310165.7123,3,0.00014675
8456,18417,395386.3179,4323226.4733,3,0.00014658
8457,3909,373717.0005,4304053.9572,3,0.00014658
8458,17246,395529.6425,4321826.6883,3,0.00014639
8459,10209,382008.1906,4308767.0799,3,0.00014627
8460,17970,396391.8212,4322707.3693,4,0.00014568
8461,11715,383209.2922,4309894.7116,3,0.00014561
8462,28687,398892.4461,4380751.5676,2,0.00014554
8463,4735,377016.0658,4304593.8,4,0.00014535
8464,1775,354118.0515,4298244.4211,2,0.00014479
8465,31651,517720.9381,4407009.743,3,0.00014474
8466,19691,396398.5889,4324630.1492,3,0.00014472
8467,2529,371374.2183,4301452.7896,3,0.00014472
8468,16203,396719.8146,4319428.0815,3,0.00014471
8469,20436,399171.9688,4325543.4363,3,0.00014469
8470,13533,373223.1278,4313353.565,3,0.00014458
8471,18404,395990.3294,4323186.1877,3,0.00014458
8472,26051,398396.2654,4360801.0848,2,0.00014454
8473,16395,397151.1994,4319669.4584,4,0.00014453
8474,13503,373216.6526,4313282.2696,3,0.00014447
8475,2583,370412.0869,4301690.1345,3,0.0001444
8476,29189,391781.8214,4387445.4862,3,0.00014434
8477,30742,389311.2168,4397362.1647,3,0.00014431
8478,29311,381543.3047,4387993.9371,2,0.0001443
8479,12167,376514.7116,4310375.0626,3,0.00014421
8480,19293,400206.7694,4324216.7199,3,0.00014411
8481,11169,383408.3881,4309390.8269,3,0.00014378
8482,671,345407.5924,4296166.3975,3,0.00014376
8483,10309,381238.6239,4308804.8117,3,0.00014363
8484,26437,392250.3872,4363361.6128,3,0.00014355
8485,24995,425576.2797,4348730.929,2,0.00014299
8486,8972,380847.2016,4308209.6289,3,0.00014296
8487,13361,370867.3456,4312960.4877,3,0.00014288
8488,28078,455151.3497,4375754.3311,3,0.00014277
8489,915,346342.1269,4296772.2972,3,0.00014269
8490,13678,377571.3281,4313727.1109,3,0.00014232
8491,514,338345.0053,4294000.1762,3,0.00014232
8492,5055,371936.3259,4304777.2459,4,0.0001423
8493,16369,397013.6345,4319639.2108,3,0.00014227
8494,5909,374357.1753,4305563.6663,3,0.00014226
